crime_id,crime_type,area,outcome,severity,reported_date
1,Theft,London,SOLVED,Low,2024-01-05
2,Assault,Manchester,under-investigation,High,2024-01-11
3,Burglary,London,,Medium,2024-02-02
4,Robbery,Birmingham,,High,2024-02-14
5,Theft,,Unsolved,Low,2024-02-20
6,Fraud,London,,Medium,2024-03-01
7,Assault,Manchester, solved ,High,2024-03-12
8,Burglary,Birmingham,UNSOLVED,Medium,2024-03-18
9,Theft,London,Solved,Low,2024-04-05
10,Fraud,,,High,2024-04-10
10,Fraud,,,High,2024-04-10
11,Theft,Parisson,solved,2024-01-03
12,Assault,Berlin,Unsolved,High,2024-01-19
13,Burglary,Paris,solved ,Medium,2024-02-07
14,Robbery,Madrid,unsolved,High,2024-02-14
